			
			
			
State	Year-Quarter	Average Price	Median Price
MO	2000Q3	"$113,326 "	"$97,715 "
MO	2000Q4	"$114,328 "	"$98,467 "
MO	2001Q1	"$115,401 "	"$99,327 "
MO	2001Q2	"$118,611 "	"$102,114 "
MO	2001Q3	"$120,093 "	"$103,358 "
MO	2001Q4	"$121,265 "	"$104,333 "
MO	2002Q1	"$122,387 "	"$105,199 "
MO	2002Q2	"$125,141 "	"$107,451 "
MO	2002Q3	"$127,024 "	"$108,927 "
MO	2002Q4	"$128,484 "	"$110,059 "
MO	2003Q1	"$130,092 "	"$111,230 "
MO	2003Q2	"$132,804 "	"$113,425 "
MO	2003Q3	"$134,660 "	"$114,898 "
MO	2003Q4	"$134,895 "	"$115,062 "
MO	2004Q1	"$136,767 "	"$116,531 "
MO	2004Q2	"$140,688 "	"$119,757 "
MO	2004Q3	"$141,543 "	"$120,505 "
MO	2004Q4	"$143,602 "	"$122,135 "
MO	2005Q1	"$144,957 "	"$123,052 "
MO	2005Q2	"$148,966 "	"$126,362 "
MO	2005Q3	"$151,836 "	"$128,724 "
MO	2005Q4	"$153,065 "	"$129,619 "
MO	2006Q1	"$154,534 "	"$130,797 "
MO	2006Q2	"$156,606 "	"$132,358 "
MO	2006Q3	"$157,895 "	"$133,303 "
MO	2006Q4	"$156,731 "	"$132,170 "
MO	2007Q1	"$156,469 "	"$131,904 "
MO	2007Q2	"$158,090 "	"$133,196 "
MO	2007Q3	"$158,290 "	"$133,164 "
MO	2007Q4	"$152,531 "	"$128,302 "
MO	2008Q1	"$148,161 "	"$124,503 "
MO	2008Q2	"$151,236 "	"$127,049 "
MO	2008Q3	"$150,820 "	"$126,561 "
MO	2008Q4	"$143,328 "	"$120,188 "
MO	2009Q1	"$143,105 "	"$120,054 "
MO	2009Q2	"$147,060 "	"$123,311 "
MO	2009Q3	"$147,846 "	"$124,100 "
MO	2009Q4	"$146,962 "	"$123,462 "
MO	2010Q1	"$140,775 "	"$118,365 "
MO	2010Q2	"$147,162 "	"$123,754 "
MS	2000Q1	"$95,381 "	"$83,653 "
MS	2000Q2	"$97,522 "	"$85,463 "
MS	2000Q3	"$98,426 "	"$86,182 "
MS	2000Q4	"$98,246 "	"$85,875 "
MS	2001Q1	"$98,775 "	"$86,253 "
MS	2001Q2	"$101,860 "	"$88,919 "
MS	2001Q3	"$102,475 "	"$89,494 "
MS	2001Q4	"$102,777 "	"$89,773 "
MS	2002Q1	"$103,457 "	"$90,317 "
MS	2002Q2	"$104,172 "	"$90,896 "
MS	2002Q3	"$106,377 "	"$92,784 "
MS	2002Q4	"$107,965 "	"$94,133 "
MS	2003Q1	"$107,667 "	"$93,675 "
MS	2003Q2	"$110,529 "	"$96,059 "
MS	2003Q3	"$110,822 "	"$96,328 "
MS	2003Q4	"$112,197 "	"$97,483 "
MS	2004Q1	"$113,472 "	"$98,456 "
MS	2004Q2	"$115,280 "	"$99,971 "
MS	2004Q3	"$116,334 "	"$100,775 "
MS	2004Q4	"$117,959 "	"$102,143 "
MS	2005Q1	"$119,942 "	"$103,778 "
MS	2005Q2	"$123,420 "	"$106,699 "
MS	2005Q3	"$126,036 "	"$109,138 "
MS	2005Q4	"$130,614 "	"$113,499 "
MS	2006Q1	"$133,054 "	"$115,645 "
MS	2006Q2	"$137,213 "	"$119,422 "
MS	2006Q3	"$139,609 "	"$121,597 "
MS	2006Q4	"$141,289 "	"$123,131 "
MS	2007Q1	"$143,988 "	"$125,495 "
MS	2007Q2	"$145,685 "	"$127,225 "
MS	2007Q3	"$144,711 "	"$126,592 "
MS	2007Q4	"$144,211 "	"$126,387 "
MS	2008Q1	"$143,114 "	"$125,794 "
MS	2008Q2	"$145,414 "	"$128,107 "
MS	2008Q3	"$143,467 "	"$126,587 "
MS	2008Q4	"$140,575 "	"$124,374 "
MS	2009Q1	"$136,138 "	"$120,915 "
MS	2009Q2	"$140,443 "	"$125,256 "
MS	2009Q3	"$141,960 "	"$126,903 "
MS	2009Q4	"$140,879 "	"$126,328 "
MS	2010Q1	"$140,094 "	"$126,054 "
MS	2010Q2	"$140,317 "	"$126,484 "
MT	2000Q1	"$114,480 "	"$99,058 "
MT	2000Q2	"$116,822 "	"$101,100 "
MT	2000Q3	"$117,829 "	"$101,902 "
MT	2000Q4	"$117,731 "	"$101,613 "
MT	2001Q1	"$121,364 "	"$104,743 "
MT	2001Q2	"$123,717 "	"$106,610 "
MT	2001Q3	"$124,343 "	"$107,012 "
MT	2001Q4	"$127,031 "	"$109,064 "
MT	2002Q1	"$128,369 "	"$110,288 "
MT	2002Q2	"$132,348 "	"$113,649 "
MT	2002Q3	"$134,560 "	"$115,541 "
MT	2002Q4	"$136,582 "	"$117,258 "
MT	2003Q1	"$136,755 "	"$117,319 "
MT	2003Q2	"$144,131 "	"$123,427 "
MT	2003Q3	"$147,693 "	"$126,577 "
MT	2003Q4	"$149,371 "	"$127,870 "
MT	2004Q1	"$151,120 "	"$129,292 "
MT	2004Q2	"$158,121 "	"$135,305 "
MT	2004Q3	"$162,244 "	"$138,832 "
MT	2004Q4	"$166,423 "	"$142,564 "
MT	2005Q1	"$170,445 "	"$145,937 "
MT	2005Q2	"$178,284 "	"$152,638 "
MT	2005Q3	"$182,780 "	"$156,589 "
MT	2005Q4	"$188,798 "	"$161,927 "
MT	2006Q1	"$194,869 "	"$167,121 "
MT	2006Q2	"$199,957 "	"$171,733 "
MT	2006Q3	"$205,638 "	"$176,921 "
MT	2006Q4	"$208,714 "	"$179,640 "
MT	2007Q1	"$209,771 "	"$180,710 "
MT	2007Q2	"$219,603 "	"$188,818 "
MT	2007Q3	"$218,991 "	"$188,281 "
MT	2007Q4	"$219,126 "	"$188,363 "
MT	2008Q1	"$218,338 "	"$187,534 "
MT	2008Q2	"$219,078 "	"$188,328 "
MT	2008Q3	"$217,817 "	"$187,401 "
MT	2008Q4	"$210,011 "	"$180,798 "
MT	2009Q1	"$211,951 "	"$182,241 "
MT	2009Q2	"$209,862 "	"$180,415 "
MT	2009Q3	"$209,655 "	"$180,512 "
MT	2009Q4	"$206,402 "	"$177,940 "
MT	2010Q1	"$207,074 "	"$178,462 "
MT	2010Q2	"$206,439 "	"$178,188 "
NC	2000Q1	"$133,078 "	"$113,656 "
NC	2000Q2	"$135,932 "	"$115,976 "
NC	2000Q3	"$137,834 "	"$117,744 "
NC	2000Q4	"$137,770 "	"$117,671 "
NC	2001Q1	"$139,809 "	"$119,309 "
NC	2001Q2	"$141,335 "	"$120,546 "
NC	2001Q3	"$143,675 "	"$122,434 "
NC	2001Q4	"$144,111 "	"$122,674 "
NC	2002Q1	"$145,785 "	"$123,956 "
NC	2002Q2	"$147,980 "	"$125,605 "
NC	2002Q3	"$149,951 "	"$127,041 "
NC	2002Q4	"$151,587 "	"$128,232 "
NC	2003Q1	"$152,387 "	"$128,741 "
NC	2003Q2	"$154,372 "	"$130,273 "
NC	2003Q3	"$156,952 "	"$132,183 "
NC	2003Q4	"$157,857 "	"$132,646 "
NC	2004Q1	"$159,213 "	"$133,343 "
NC	2004Q2	"$163,991 "	"$137,033 "
NC	2004Q3	"$166,344 "	"$138,602 "
NC	2004Q4	"$168,557 "	"$140,225 "
NC	2005Q1	"$172,982 "	"$143,719 "
NC	2005Q2	"$176,680 "	"$146,588 "
NC	2005Q3	"$180,926 "	"$149,650 "
NC	2005Q4	"$185,678 "	"$153,101 "
NC	2006Q1	"$188,310 "	"$154,792 "
NC	2006Q2	"$192,591 "	"$157,848 "
NC	2006Q3	"$195,957 "	"$160,279 "
NC	2006Q4	"$198,213 "	"$161,825 "
NC	2007Q1	"$199,607 "	"$162,674 "
NC	2007Q2	"$202,497 "	"$164,824 "
NC	2007Q3	"$203,769 "	"$165,683 "
NC	2007Q4	"$200,053 "	"$162,487 "
NC	2008Q1	"$199,541 "	"$161,711 "
NC	2008Q2	"$200,817 "	"$162,392 "
NC	2008Q3	"$197,166 "	"$159,321 "
NC	2008Q4	"$191,377 "	"$154,530 "
NC	2009Q1	"$190,249 "	"$153,639 "
NC	2009Q2	"$192,696 "	"$155,636 "
NC	2009Q3	"$192,729 "	"$155,793 "
NC	2009Q4	"$190,036 "	"$153,656 "
NC	2010Q1	"$186,743 "	"$150,703 "
NC	2010Q2	"$191,255 "	"$154,481 "
ND	2000Q1	"$82,569 "	"$75,151 "
ND	2000Q2	"$83,111 "	"$75,684 "
ND	2000Q3	"$84,113 "	"$76,607 "
ND	2000Q4	"$82,282 "	"$74,899 "
ND	2001Q1	"$85,601 "	"$77,767 "
ND	2001Q2	"$86,533 "	"$78,372 "
ND	2001Q3	"$86,837 "	"$78,621 "
ND	2001Q4	"$88,680 "	"$80,251 "
ND	2002Q1	"$88,779 "	"$80,241 "
ND	2002Q2	"$90,735 "	"$81,948 "
ND	2002Q3	"$93,469 "	"$84,431 "
ND	2002Q4	"$93,219 "	"$84,214 "
ND	2003Q1	"$95,138 "	"$85,739 "
ND	2003Q2	"$96,054 "	"$86,512 "
ND	2003Q3	"$99,742 "	"$89,622 "
ND	2003Q4	"$99,417 "	"$89,179 "
ND	2004Q1	"$99,529 "	"$89,123 "
ND	2004Q2	"$105,374 "	"$94,328 "
ND	2004Q3	"$107,055 "	"$95,679 "
ND	2004Q4	"$109,205 "	"$97,501 "
ND	2005Q1	"$112,914 "	"$100,504 "
ND	2005Q2	"$115,644 "	"$102,706 "
ND	2005Q3	"$118,656 "	"$105,216 "
ND	2005Q4	"$122,361 "	"$108,417 "
ND	2006Q1	"$122,798 "	"$108,897 "
ND	2006Q2	"$125,159 "	"$111,004 "
ND	2006Q3	"$128,168 "	"$113,621 "
ND	2006Q4	"$127,860 "	"$113,144 "
ND	2007Q1	"$131,516 "	"$116,318 "
ND	2007Q2	"$133,617 "	"$118,260 "
ND	2007Q3	"$137,491 "	"$121,379 "
ND	2007Q4	"$136,151 "	"$120,010 "
ND	2008Q1	"$135,604 "	"$119,842 "
ND	2008Q2	"$140,304 "	"$124,085 "
ND	2008Q3	"$141,708 "	"$125,812 "
ND	2008Q4	"$144,121 "	"$128,330 "
ND	2009Q1	"$143,791 "	"$128,243 "
ND	2009Q2	"$146,604 "	"$130,998 "
ND	2009Q3	"$146,834 "	"$131,526 "
ND	2009Q4	"$144,631 "	"$129,603 "
ND	2010Q1	"$150,410 "	"$135,386 "
ND	2010Q2	"$147,844 "	"$133,473 "
NE	2000Q1	"$105,509 "	"$92,312 "
NE	2000Q2	"$108,239 "	"$94,640 "
NE	2000Q3	"$108,988 "	"$95,297 "
NE	2000Q4	"$108,826 "	"$95,127 "
NE	2001Q1	"$109,807 "	"$95,967 "
NE	2001Q2	"$111,840 "	"$97,691 "
NE	2001Q3	"$112,397 "	"$98,452 "
NE	2001Q4	"$112,088 "	"$98,143 "
NE	2002Q1	"$113,152 "	"$98,996 "
NE	2002Q2	"$115,335 "	"$100,990 "
NE	2002Q3	"$116,888 "	"$102,381 "
NE	2002Q4	"$117,054 "	"$102,544 "
NE	2003Q1	"$117,747 "	"$102,974 "
NE	2003Q2	"$120,636 "	"$105,363 "
NE	2003Q3	"$122,251 "	"$106,648 "
NE	2003Q4	"$121,592 "	"$106,071 "
NE	2004Q1	"$122,604 "	"$106,900 "
NE	2004Q2	"$124,866 "	"$108,804 "
NE	2004Q3	"$128,033 "	"$111,451 "
NE	2004Q4	"$127,637 "	"$110,955 "
NE	2005Q1	"$128,324 "	"$111,424 "
NE	2005Q2	"$131,355 "	"$113,805 "
NE	2005Q3	"$134,287 "	"$116,185 "
NE	2005Q4	"$134,025 "	"$115,692 "
NE	2006Q1	"$134,384 "	"$115,806 "
NE	2006Q2	"$138,061 "	"$118,701 "
NE	2006Q3	"$138,374 "	"$118,770 "
NE	2006Q4	"$135,162 "	"$115,809 "
NE	2007Q1	"$136,265 "	"$116,560 "
NE	2007Q2	"$138,904 "	"$118,734 "
NE	2007Q3	"$139,227 "	"$118,852 "
NE	2007Q4	"$135,622 "	"$115,624 "
NE	2008Q1	"$134,729 "	"$114,967 "
NE	2008Q2	"$136,999 "	"$116,981 "
NE	2008Q3	"$136,936 "	"$116,952 "
NE	2008Q4	"$135,086 "	"$115,533 "
NE	2009Q1	"$132,173 "	"$113,237 "
NE	2009Q2	"$137,423 "	"$117,927 "
NE	2009Q3	"$137,496 "	"$118,273 "
NE	2009Q4	"$137,483 "	"$118,496 "
NE	2010Q1	"$135,116 "	"$116,669 "
NE	2010Q2	"$139,325 "	"$120,415 "
NH	2000Q1	"$159,415 "	"$137,491 "
NH	2000Q2	"$165,800 "	"$142,996 "
NH	2000Q3	"$170,499 "	"$147,533 "
NH	2000Q4	"$176,624 "	"$152,736 "
NH	2001Q1	"$179,077 "	"$154,940 "
NH	2001Q2	"$187,490 "	"$162,279 "
NH	2001Q3	"$194,863 "	"$168,576 "
NH	2001Q4	"$198,732 "	"$171,796 "
NH	2002Q1	"$200,272 "	"$173,569 "
NH	2002Q2	"$209,105 "	"$181,418 "
NH	2002Q3	"$218,398 "	"$189,883 "
NH	2002Q4	"$222,511 "	"$193,839 "
NH	2003Q1	"$227,576 "	"$198,358 "
NH	2003Q2	"$235,153 "	"$205,047 "
NH	2003Q3	"$242,584 "	"$211,813 "
NH	2003Q4	"$246,906 "	"$215,808 "
NH	2004Q1	"$252,675 "	"$221,484 "
NH	2004Q2	"$261,449 "	"$229,560 "
NH	2004Q3	"$267,360 "	"$235,181 "
NH	2004Q4	"$273,968 "	"$241,240 "
NH	2005Q1	"$275,623 "	"$243,260 "
NH	2005Q2	"$287,152 "	"$253,714 "
NH	2005Q3	"$294,549 "	"$260,800 "
NH	2005Q4	"$291,801 "	"$258,513 "
NH	2006Q1	"$292,376 "	"$259,243 "
NH	2006Q2	"$296,926 "	"$263,242 "
NH	2006Q3	"$292,789 "	"$259,719 "
NH	2006Q4	"$287,759 "	"$255,432 "
NH	2007Q1	"$283,589 "	"$251,883 "
NH	2007Q2	"$286,905 "	"$254,856 "
NH	2007Q3	"$282,253 "	"$250,698 "
NH	2007Q4	"$272,955 "	"$241,908 "
NH	2008Q1	"$264,784 "	"$234,463 "
NH	2008Q2	"$267,773 "	"$236,445 "
NH	2008Q3	"$263,940 "	"$232,610 "
NH	2008Q4	"$250,302 "	"$220,129 "
NH	2009Q1	"$248,860 "	"$217,815 "
NH	2009Q2	"$252,687 "	"$221,159 "
NH	2009Q3	"$254,805 "	"$223,006 "
NH	2009Q4	"$248,331 "	"$216,599 "
NH	2010Q1	"$245,433 "	"$213,425 "
NH	2010Q2	"$254,399 "	"$220,625 "
NJ	2000Q1	"$200,858 "	"$174,675 "
NJ	2000Q2	"$208,470 "	"$180,086 "
NJ	2000Q3	"$214,453 "	"$184,789 "
NJ	2000Q4	"$218,091 "	"$187,457 "
NJ	2001Q1	"$222,853 "	"$191,128 "
NJ	2001Q2	"$231,003 "	"$198,019 "
NJ	2001Q3	"$240,112 "	"$205,626 "
NJ	2001Q4	"$245,093 "	"$209,495 "
NJ	2002Q1	"$250,031 "	"$213,506 "
NJ	2002Q2	"$262,384 "	"$223,977 "
NJ	2002Q3	"$273,585 "	"$233,438 "
NJ	2002Q4	"$281,331 "	"$240,573 "
NJ	2003Q1	"$284,384 "	"$243,317 "
NJ	2003Q2	"$297,270 "	"$254,385 "
NJ	2003Q3	"$308,311 "	"$264,048 "
NJ	2003Q4	"$316,374 "	"$271,137 "
NJ	2004Q1	"$317,105 "	"$271,743 "
NJ	2004Q2	"$331,099 "	"$283,633 "
NJ	2004Q3	"$342,310 "	"$293,648 "
NJ	2004Q4	"$351,589 "	"$302,188 "
NJ	2005Q1	"$357,923 "	"$307,986 "
NJ	2005Q2	"$373,031 "	"$322,993 "
NJ	2005Q3	"$384,047 "	"$333,121 "
NJ	2005Q4	"$389,005 "	"$337,758 "
NJ	2006Q1	"$393,269 "	"$341,830 "
NJ	2006Q2	"$401,432 "	"$349,000 "
NJ	2006Q3	"$403,045 "	"$350,403 "
NJ	2006Q4	"$397,448 "	"$346,030 "
NJ	2007Q1	"$394,765 "	"$344,337 "
NJ	2007Q2	"$394,240 "	"$343,827 "
NJ	2007Q3	"$389,559 "	"$339,665 "
NJ	2007Q4	"$381,679 "	"$333,016 "
NJ	2008Q1	"$373,916 "	"$326,261 "
NJ	2008Q2	"$365,110 "	"$318,439 "
NJ	2008Q3	"$357,874 "	"$311,350 "
NJ	2008Q4	"$347,751 "	"$301,939 "
NJ	2009Q1	"$337,446 "	"$292,955 "
NJ	2009Q2	"$331,292 "	"$287,718 "
NJ	2009Q3	"$331,283 "	"$287,571 "
NJ	2009Q4	"$326,914 "	"$283,822 "
NJ	2010Q1	"$318,315 "	"$276,180 "
NJ	2010Q2	"$325,722 "	"$282,633 "
NM	2000Q1	"$123,624 "	"$107,158 "
NM	2000Q2	"$126,174 "	"$109,050 "
NM	2000Q3	"$127,273 "	"$109,845 "
NM	2000Q4	"$126,764 "	"$109,152 "
NM	2001Q1	"$128,658 "	"$110,397 "
NM	2001Q2	"$131,737 "	"$112,717 "
NM	2001Q3	"$132,727 "	"$113,227 "
NM	2001Q4	"$133,031 "	"$113,183 "
NM	2002Q1	"$135,003 "	"$114,610 "
NM	2002Q2	"$138,893 "	"$117,656 "
NM	2002Q3	"$140,899 "	"$119,115 "
NM	2002Q4	"$142,086 "	"$119,971 "
NM	2003Q1	"$143,814 "	"$121,133 "
NM	2003Q2	"$147,917 "	"$124,225 "
NM	2003Q3	"$150,917 "	"$126,634 "
NM	2003Q4	"$153,578 "	"$128,744 "
NM	2004Q1	"$155,242 "	"$130,079 "
NM	2004Q2	"$160,543 "	"$134,411 "
NM	2004Q3	"$164,453 "	"$137,650 "
NM	2004Q4	"$166,864 "	"$139,527 "
NM	2005Q1	"$172,181 "	"$143,831 "
NM	2005Q2	"$178,044 "	"$148,840 "
NM	2005Q3	"$185,187 "	"$154,610 "
NM	2005Q4	"$190,466 "	"$159,144 "
NM	2006Q1	"$193,378 "	"$161,755 "
NM	2006Q2	"$203,020 "	"$169,710 "
NM	2006Q3	"$207,875 "	"$174,030 "
NM	2006Q4	"$210,400 "	"$176,435 "
NM	2007Q1	"$210,792 "	"$177,050 "
NM	2007Q2	"$214,483 "	"$180,355 "
NM	2007Q3	"$212,686 "	"$179,068 "
NM	2007Q4	"$209,631 "	"$176,534 "
NM	2008Q1	"$208,681 "	"$175,777 "
NM	2008Q2	"$208,141 "	"$175,736 "
NM	2008Q3	"$205,217 "	"$173,633 "
NM	2008Q4	"$200,789 "	"$170,039 "
NM	2009Q1	"$195,860 "	"$165,956 "
NM	2009Q2	"$197,176 "	"$167,356 "
NM	2009Q3	"$196,216 "	"$166,826 "
NM	2009Q4	"$193,212 "	"$164,688 "
NM	2010Q1	"$190,476 "	"$162,451 "
NM	2010Q2	"$188,610 "	"$161,176 "
NV	2000Q1	"$172,486 "	"$138,100 "
NV	2000Q2	"$176,681 "	"$140,706 "
NV	2000Q3	"$179,316 "	"$142,206 "
NV	2000Q4	"$181,690 "	"$143,828 "
NV	2001Q1	"$184,613 "	"$145,696 "
NV	2001Q2	"$187,861 "	"$148,503 "
NV	2001Q3	"$191,512 "	"$151,582 "
NV	2001Q4	"$194,136 "	"$153,494 "
NV	2002Q1	"$196,562 "	"$155,140 "
NV	2002Q2	"$201,953 "	"$159,307 "
NV	2002Q3	"$205,718 "	"$162,459 "
NV	2002Q4	"$207,881 "	"$165,643 "
NV	2003Q1	"$211,820 "	"$168,845 "
NV	2003Q2	"$219,853 "	"$175,493 "
NV	2003Q3	"$229,770 "	"$183,410 "
NV	2003Q4	"$240,735 "	"$193,299 "
NV	2004Q1	"$254,139 "	"$206,256 "
NV	2004Q2	"$280,464 "	"$228,688 "
NV	2004Q3	"$304,177 "	"$249,133 "
NV	2004Q4	"$316,630 "	"$260,302 "
NV	2005Q1	"$327,567 "	"$271,038 "
NV	2005Q2	"$343,838 "	"$286,602 "
NV	2005Q3	"$355,490 "	"$298,097 "
NV	2005Q4	"$358,697 "	"$303,092 "
NV	2006Q1	"$359,825 "	"$306,419 "
NV	2006Q2	"$361,440 "	"$308,372 "
NV	2006Q3	"$356,366 "	"$304,643 "
NV	2006Q4	"$350,514 "	"$299,853 "
NV	2007Q1	"$343,026 "	"$293,218 "
NV	2007Q2	"$334,875 "	"$286,391 "
NV	2007Q3	"$321,329 "	"$274,668 "
NV	2007Q4	"$297,186 "	"$254,191 "
NV	2008Q1	"$269,954 "	"$231,080 "
NV	2008Q2	"$256,305 "	"$219,721 "
NV	2008Q3	"$240,377 "	"$206,446 "
NV	2008Q4	"$217,593 "	"$187,168 "
NV	2009Q1	"$199,332 "	"$171,729 "
NV	2009Q2	"$187,169 "	"$161,238 "
NV	2009Q3	"$182,815 "	"$157,191 "
NV	2009Q4	"$181,443 "	"$155,826 "
NV	2010Q1	"$179,626 "	"$153,925 "
NV	2010Q2	"$179,627 "	"$153,364 "
NY	2000Q1	"$166,063 "	"$140,191 "
NY	2000Q2	"$171,435 "	"$144,207 "
NY	2000Q3	"$178,618 "	"$149,904 "
NY	2000Q4	"$181,149 "	"$151,845 "
NY	2001Q1	"$183,536 "	"$153,570 "
NY	2001Q2	"$189,954 "	"$159,043 "
NY	2001Q3	"$197,734 "	"$165,431 "
NY	2001Q4	"$202,439 "	"$169,272 "
NY	2002Q1	"$204,698 "	"$171,398 "
NY	2002Q2	"$212,491 "	"$177,902 "
NY	2002Q3	"$221,519 "	"$185,729 "
NY	2002Q4	"$228,758 "	"$192,086 "
NY	2003Q1	"$234,003 "	"$196,721 "
NY	2003Q2	"$242,519 "	"$203,936 "
NY	2003Q3	"$252,585 "	"$212,634 "
NY	2003Q4	"$258,012 "	"$217,530 "
NY	2004Q1	"$257,529 "	"$217,399 "
NY	2004Q2	"$267,163 "	"$225,547 "
NY	2004Q3	"$275,371 "	"$232,576 "
NY	2004Q4	"$282,435 "	"$238,777 "
NY	2005Q1	"$286,329 "	"$242,320 "
NY	2005Q2	"$298,652 "	"$252,944 "
NY	2005Q3	"$310,448 "	"$262,795 "
NY	2005Q4	"$319,508 "	"$270,289 "
NY	2006Q1	"$321,794 "	"$271,880 "
NY	2006Q2	"$329,308 "	"$277,722 "
NY	2006Q3	"$333,950 "	"$281,159 "
NY	2006Q4	"$335,278 "	"$281,796 "
NY	2007Q1	"$333,100 "	"$279,435 "
NY	2007Q2	"$334,488 "	"$279,782 "
NY	2007Q3	"$335,966 "	"$279,873 "
NY	2007Q4	"$332,384 "	"$276,152 "
NY	2008Q1	"$326,565 "	"$270,094 "
NY	2008Q2	"$325,824 "	"$268,844 "
NY	2008Q3	"$320,230 "	"$263,545 "
NY	2008Q4	"$311,667 "	"$256,076 "
NY	2009Q1	"$301,754 "	"$247,773 "
NY	2009Q2	"$301,862 "	"$247,838 "
NY	2009Q3	"$304,431 "	"$249,879 "
NY	2009Q4	"$299,764 "	"$246,227 "
NY	2010Q1	"$292,542 "	"$240,132 "
NY	2010Q2	"$299,812 "	"$245,858 "
OH	2000Q1	"$121,440 "	"$105,574 "
OH	2000Q2	"$124,437 "	"$108,115 "
OH	2000Q3	"$125,341 "	"$108,857 "
OH	2000Q4	"$126,353 "	"$109,593 "
OH	2001Q1	"$126,912 "	"$110,092 "
OH	2001Q2	"$128,853 "	"$111,786 "
OH	2001Q3	"$129,989 "	"$112,776 "
OH	2001Q4	"$130,422 "	"$113,094 "
OH	2002Q1	"$130,990 "	"$113,523 "
OH	2002Q2	"$133,360 "	"$115,600 "
OH	2002Q3	"$134,506 "	"$116,595 "
OH	2002Q4	"$134,851 "	"$116,867 "
OH	2003Q1	"$135,117 "	"$116,998 "
OH	2003Q2	"$137,962 "	"$119,467 "
OH	2003Q3	"$139,191 "	"$120,524 "
OH	2003Q4	"$140,113 "	"$121,345 "
OH	2004Q1	"$137,915 "	"$119,631 "
OH	2004Q2	"$140,686 "	"$122,002 "
OH	2004Q3	"$141,976 "	"$123,108 "
OH	2004Q4	"$141,645 "	"$122,828 "
OH	2005Q1	"$141,648 "	"$122,864 "
OH	2005Q2	"$145,512 "	"$126,154 "
OH	2005Q3	"$146,444 "	"$126,974 "
OH	2005Q4	"$145,227 "	"$125,916 "
OH	2006Q1	"$143,778 "	"$124,581 "
OH	2006Q2	"$147,300 "	"$127,500 "
OH	2006Q3	"$147,982 "	"$127,958 "
OH	2006Q4	"$144,898 "	"$125,217 "
OH	2007Q1	"$141,976 "	"$122,632 "
OH	2007Q2	"$144,207 "	"$124,391 "
OH	2007Q3	"$142,969 "	"$123,248 "
OH	2007Q4	"$136,493 "	"$117,647 "
OH	2008Q1	"$132,293 "	"$113,999 "
OH	2008Q2	"$135,736 "	"$116,786 "
OH	2008Q3	"$132,914 "	"$114,392 "
OH	2008Q4	"$122,425 "	"$105,239 "
OH	2009Q1	"$118,917 "	"$102,129 "
OH	2009Q2	"$125,969 "	"$108,200 "
OH	2009Q3	"$130,512 "	"$112,138 "
OH	2009Q4	"$129,388 "	"$111,275 "
OH	2010Q1	"$125,561 "	"$108,044 "
OH	2010Q2	"$132,093 "	"$113,730 "
OK	2000Q1	"$91,320 "	"$78,663 "
OK	2000Q2	"$92,151 "	"$79,829 "
OK	2000Q3	"$93,174 "	"$80,563 "
OK	2000Q4	"$93,109 "	"$80,460 "
OK	2001Q1	"$94,081 "	"$81,143 "
OK	2001Q2	"$95,437 "	"$82,253 "
OK	2001Q3	"$96,993 "	"$83,548 "
OK	2001Q4	"$97,765 "	"$84,074 "
OK	2002Q1	"$98,260 "	"$84,552 "
OK	2002Q2	"$99,851 "	"$85,845 "
OK	2002Q3	"$101,510 "	"$87,174 "
OK	2002Q4	"$101,942 "	"$87,442 "
OK	2003Q1	"$103,153 "	"$88,292 "
OK	2003Q2	"$105,011 "	"$89,874 "
OK	2003Q3	"$106,642 "	"$91,129 "
OK	2003Q4	"$107,056 "	"$91,518 "
OK	2004Q1	"$107,271 "	"$91,709 "
OK	2004Q2	"$109,565 "	"$93,609 "
OK	2004Q3	"$110,977 "	"$94,808 "
OK	2004Q4	"$112,647 "	"$96,174 "
OK	2005Q1	"$114,125 "	"$97,449 "
OK	2005Q2	"$115,854 "	"$98,941 "
OK	2005Q3	"$118,817 "	"$101,464 "
OK	2005Q4	"$120,571 "	"$102,889 "
OK	2006Q1	"$121,995 "	"$104,154 "
OK	2006Q2	"$124,848 "	"$106,559 "
OK	2006Q3	"$126,342 "	"$107,683 "
OK	2006Q4	"$126,231 "	"$107,510 "
OK	2007Q1	"$127,776 "	"$108,650 "
OK	2007Q2	"$130,093 "	"$110,508 "
OK	2007Q3	"$132,065 "	"$112,133 "
OK	2007Q4	"$131,052 "	"$111,300 "
OK	2008Q1	"$129,800 "	"$110,386 "
OK	2008Q2	"$132,636 "	"$112,859 "
OK	2008Q3	"$133,796 "	"$113,918 "
OK	2008Q4	"$131,143 "	"$111,663 "
OK	2009Q1	"$130,713 "	"$111,560 "
OK	2009Q2	"$133,250 "	"$113,879 "
OK	2009Q3	"$135,248 "	"$115,846 "
OK	2009Q4	"$134,494 "	"$115,548 "
OK	2010Q1	"$131,778 "	"$113,490 "
OK	2010Q2	"$137,614 "	"$118,771 "
OR	2000Q1	"$155,926 "	"$138,338 "
OR	2000Q2	"$158,445 "	"$140,492 "
OR	2000Q3	"$159,439 "	"$141,306 "
OR	2000Q4	"$160,410 "	"$141,979 "
OR	2001Q1	"$162,670 "	"$143,818 "
OR	2001Q2	"$165,070 "	"$145,891 "
OR	2001Q3	"$167,463 "	"$147,796 "
OR	2001Q4	"$168,208 "	"$148,330 "
OR	2002Q1	"$169,552 "	"$149,476 "
OR	2002Q2	"$173,087 "	"$152,426 "
OR	2002Q3	"$176,158 "	"$155,083 "
OR	2002Q4	"$177,902 "	"$156,369 "
OR	2003Q1	"$180,479 "	"$158,459 "
