type,price travel in Dong
BUS,24.251
BUS,29.277
BUS,25.871
BUS,14.062
BUS,24.675
BUS,19.104
UBER,44.891
UBER,32.198
UBER,57.047
UBER,36.074
UBER,19.381
UBER,32.716
TRAIN,5253.872
TRAIN,6097.791
TRAIN,2666.899
TRAIN,2658.68
TRAIN,2408.799
TRAIN,3349.225
